mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0020021438598632813,4.433816412394839e-06,0.002995157241821289,0.0006323470327929278,euclidean,20,"{'metric': 'euclidean', 'n_neighbors': 20}",0.10035764664407554,0.09138493010421433,0.016862670860737228,0.05931662490170697,0.09799511517614334,0.07318339753737549,0.03177945427849429,31
0.0019999027252197267,3.4099691731989145e-06,0.0030030727386474608,4.212391438552432e-06,euclidean,21,"{'metric': 'euclidean', 'n_neighbors': 21}",0.08361850103679902,0.06192795553744246,0.00507137356683951,0.04699422302415823,0.0983922022490682,0.05920085108286148,0.0323067263551515,55
0.0019658088684082033,6.738594831161954e-05,0.0036023139953613283,0.0004883659324750941,euclidean,22,"{'metric': 'euclidean', 'n_neighbors': 22}",0.09375554286660837,0.06504015104071337,0.013588483100052229,0.03366330394931161,0.09376139019378382,0.05996177423009388,0.03210082372252345,53
0.002000284194946289,7.173824482089114e-06,0.0027970790863037108,0.0003982862509121197,euclidean,23,"{'metric': 'euclidean', 'n_neighbors': 23}",0.09014493579954685,0.056767219049855266,0.004134370245204799,0.03489261050455683,0.07689085465594903,0.05256599805102256,0.030592471846281274,61
0.001997232437133789,6.033450541643766e-06,0.0030162811279296877,2.3188900362085247e-05,euclidean,24,"{'metric': 'euclidean', 'n_neighbors': 24}",0.09132016254679265,0.05094223310837176,0.003695694503810243,0.0499098789472201,0.0833077146237603,0.05583513674599101,0.030956421675149354,58
0.0019863128662109377,2.639085826943076e-05,0.0027984142303466796,0.0004015502475155626,euclidean,25,"{'metric': 'euclidean', 'n_neighbors': 25}",0.0806769014954648,0.049207611153071595,-0.003231397159415339,0.049512303584905215,0.09374659326863977,0.05398240246853321,0.03349622794372165,60
0.0021985530853271484,0.0003981286339952118,0.003008413314819336,0.000620182525063086,euclidean,26,"{'metric': 'euclidean', 'n_neighbors': 26}",0.0790378741426363,0.04221010717723528,-0.024781770692403393,0.060511870714160754,0.09021169405360874,0.04943795507904754,0.040551434216094924,62
0.0019962310791015623,5.823273130774791e-06,0.0030043601989746095,6.592435386427339e-06,euclidean,27,"{'metric': 'euclidean', 'n_neighbors': 27}",0.067547644576884,0.04137607400144405,-0.011895769999277661,0.05225115194616814,0.07697225420708409,0.04525027094646052,0.031090670064554134,69
0.0020001888275146484,6.000574576087712e-06,0.0032017707824707033,0.00039873519485828814,euclidean,28,"{'metric': 'euclidean', 'n_neighbors': 28}",0.07387489352500576,0.031228128732815552,-0.017782203350246606,0.055555756072210194,0.06730197478100597,0.042035709952158176,0.03325626545402233,77
0.0018221378326416016,0.0003550872074087945,0.0029797077178955076,0.0006381321866238622,euclidean,29,"{'metric': 'euclidean', 'n_neighbors': 29}",0.07668489314588811,0.022178429071567307,-0.009849705659179975,0.05774860323641473,0.06455607447693967,0.04226365885432597,0.03175145944143703,76
0.0019993305206298826,0.0006335632412814646,0.003002452850341797,5.756512786322692e-06,euclidean,30,"{'metric': 'euclidean', 'n_neighbors': 30}",0.07646580406984527,0.029928099418327747,0.003782902222344453,0.07007720187650213,0.052832600964444754,0.04661732171029287,0.02680763028083109,64
0.002194976806640625,0.0004036179837496591,0.0038756370544433595,0.00046010666005610087,euclidean,31,"{'metric': 'euclidean', 'n_neighbors': 31}",0.0780022488377482,0.026246917254135527,0.0009714263257741829,0.06644960183105841,0.06018961108719201,0.046371961067181666,0.02849821102613426,65
0.0027869701385498046,0.0003899828549662041,0.0036020755767822267,0.0004876184295401898,euclidean,32,"{'metric': 'euclidean', 'n_neighbors': 32}",0.08392206621418796,0.016812128007481886,0.0028923657424775318,0.06744063862327654,0.06047413503887611,0.046308266725260006,0.03103871626376726,66
0.0027937889099121094,0.00040045135443817783,0.0036053180694580076,0.0004917908386158816,euclidean,33,"{'metric': 'euclidean', 'n_neighbors': 33}",0.08311175353665401,0.007418335651314889,0.014084871223811857,0.06603713029569869,0.05660225889621895,0.04545086992073968,0.029653968652610874,68
0.0017981529235839844,0.000401498274676175,0.003002166748046875,4.349424076458504e-06,euclidean,34,"{'metric': 'euclidean', 'n_neighbors': 34}",0.07352843350238214,0.0061156440067545725,0.02429929630952188,0.06205612651479253,0.0514791635760774,0.0434957327819057,0.024803067170845086,73
0.001996898651123047,6.623747007059226e-06,0.003200864791870117,0.00039847617167669254,euclidean,35,"{'metric': 'euclidean', 'n_neighbors': 35}",0.08213887444433043,0.004547092662712804,0.013228717473122487,0.0706323724405945,0.05109930557046405,0.04432927251824485,0.030715203951902685,70
0.001599884033203125,0.0004912487766378832,0.002996969223022461,0.0006339180212148882,euclidean,36,"{'metric': 'euclidean', 'n_neighbors': 36}",0.07539279954783751,-0.002836610041780485,0.020474201454545482,0.061088782053046575,0.051510767325655404,0.0411259880678609,0.028424557958934383,78
0.0016265392303466796,0.0004715505172919948,0.0030195236206054686,0.0006843118349896275,euclidean,37,"{'metric': 'euclidean', 'n_neighbors': 37}",0.07909679070980635,0.006309266514323397,0.023019968662382984,0.06792249257998972,0.05870230058690851,0.047010163810682196,0.027697204504048473,63
0.0014153480529785155,0.0005061748416021959,0.0031885147094726563,0.0003875905541341987,euclidean,38,"{'metric': 'euclidean', 'n_neighbors': 38}",0.08972897723459361,0.00010262516711578851,0.026291656640062833,0.04901154295299437,0.05413551148990969,0.04385406269693526,0.029864500558836795,72
0.0018164634704589844,0.0004039908488498515,0.003188800811767578,0.00035796325851432766,euclidean,39,"{'metric': 'euclidean', 'n_neighbors': 39}",0.10256057272686525,-0.007766482437138178,0.019781062553173245,0.05861804364947121,0.046757532990583495,0.043990145896591004,0.03719396998407551,71
0.0019974708557128906,2.979488279945083e-05,0.0030431270599365233,8.441962540685915e-05,euclidean,40,"{'metric': 'euclidean', 'n_neighbors': 40}",0.11516429886671709,-0.0006851865064108065,0.009501477048185714,0.058498397170236416,0.04697861782045332,0.04589152087983635,0.041115587897032346,67
0.0016782760620117187,0.0005601755687254227,0.0029972553253173827,0.0006264217133803339,euclidean,41,"{'metric': 'euclidean', 'n_neighbors': 41}",0.11641470951572463,-0.006729660201160836,0.0041166003300416865,0.04804696616347559,0.05517406942728087,0.04340453704707239,0.04369791534995259,74
0.002180624008178711,0.00039310159756152243,0.0027947425842285156,0.00039415695231457133,euclidean,42,"{'metric': 'euclidean', 'n_neighbors': 42}",0.12160858660016849,-0.013284974099303959,0.001349016126809377,0.033758023002978366,0.051781063632884705,0.039042343052707394,0.047257419796295,79
0.0020205020904541016,4.285081674635726e-05,0.002785015106201172,0.00039487614341038877,euclidean,43,"{'metric': 'euclidean', 'n_neighbors': 43}",0.1176334149024939,-0.011908172462540945,-0.005012004898570233,0.02724570066172627,0.048977715758370066,0.035387330792295814,0.04665699092003777,80
0.001799774169921875,0.0003864018187442971,0.00299983024597168,6.194112849657404e-06,euclidean,44,"{'metric': 'euclidean', 'n_neighbors': 44}",0.13185006517887743,-0.023104509552547947,-0.00516074560930857,0.01616802697267261,0.04434697471674165,0.032819962341287034,0.0543823518558749,81
0.002994823455810547,0.0010991595188668732,0.003604698181152344,0.0004882873594378684,euclidean,45,"{'metric': 'euclidean', 'n_neighbors': 45}",0.1312828045314296,-0.02242136264668204,-0.012585069894750944,0.02252481721054833,0.030320551114581762,0.029824348063025342,0.05454451535427831,82
